experiment,learning_rate,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error
H1a-noise,0.2,41094,6.307010994,1.265236816,7,0.038461469
H1a-noise,0.5,41094,2.025605935,0.754806428,2,0.039349743
H1a-noise,0.8,41094,1.162522172,0.250970742,0,0.05408734
H1a-noise,0.05,41095,19.689064006,1.529134816,20,0.581891272
H1a-noise,0.2,41095,6.633191385,1.311532524,7,0.021693273
H1a-noise,0.5,41095,2.176017326,0.830729658,2,0.009775877
H1a-noise,0.8,41095,1.483680378,0.347759219,1,0.012261201
H1a-noise,0.05,41096,19.149748631,1.502267131,20,0.563023772
H1a-noise,0.2,41096,5.836389038,1.225634722,7,0.023410564
H1a-noise,0.5,41096,1.813291179,0.719868917,1,0.010211899
H1a-noise,0.8,41096,1.148732732,0.234815054,0,0.010441971
H1a-noise,0.05,41097,19.761087419,1.528916511,20,0.583787832
H1a-noise,0.2,41097,6.76183064,1.307449196,7,0.012535335
H1a-noise,0.5,41097,2.321149914,0.853606801,2,0.017930575
H1a-noise,0.8,41097,1.501618191,0.400641017,1,0.003443091
H1a-noise,0.05,41098,19.869594614,1.536980043,20,0.598613396
H1a-noise,0.2,41098,6.805223857,1.305487952,8,0.056466043
H1a-noise,0.5,41098,2.134228061,0.790380992,2,0.055024694
H1a-noise,0.8,41098,1.323076252,0.260794509,0,0.080643294
H1a-noise,0.05,41099,19.871429255,1.525445297,20,0.580118093
H1a-noise,0.2,41099,6.904154651,1.291848194,8,0.010024433
H1a-noise,0.5,41099,2.710834321,0.816884305,2,0.083201158
H1a-noise,0.8,41099,1.891410615,0.337012689,1,0.105711748
H2-noise,0.05,41000,2.017487297,0.167112222,0,0.086288612
H2-noise,0.2,41000,3.60469366,0.573060399,4,0.014823683
H2-noise,0.5,41000,4.048682275,1.145478702,3,0.057775539
