mechanism,severity,signed_parameter,mechanism_direction,seed,cumulative_model_error,maximum_model_error,proposal_mismatch_steps,final_model_error,observed_fraction_full_sequence,observed_fraction_evaluation_window
missingness,0.5,0.5,not_directional,52061,5.167430889,0.836775102,10,0.042960572,0.433333333,0.35
missingness,0.0,0.0,not_directional,52062,2.292608337,0.872980282,2,0.02856809,1.0,1.0
missingness,0.1,0.1,not_directional,52062,3.7127039,1.580798017,3,0.028543411,0.866666667,0.9
missingness,0.3,0.3,not_directional,52062,3.819212756,1.580535592,3,0.006155976,0.566666667,0.5
missingness,0.5,0.5,not_directional,52062,3.959963608,1.580535592,3,0.0070881,0.533333333,0.45
missingness,0.0,0.0,not_directional,52063,2.574767442,0.852909558,3,0.10260026,1.0,1.0
missingness,0.1,0.1,not_directional,52063,2.526248167,0.830645811,2,0.100912073,0.866666667,0.9
missingness,0.3,0.3,not_directional,52063,3.208510617,0.83055877,3,0.09970223,0.7,0.7
missingness,0.5,0.5,not_directional,52063,3.89130466,0.818885595,4,0.047399197,0.533333333,0.55
missingness,0.0,0.0,not_directional,52064,2.122000498,0.805400357,2,0.090395893,1.0,1.0
missingness,0.1,0.1,not_directional,52064,2.275025915,0.805400357,2,0.079328442,0.866666667,0.8
missingness,0.3,0.3,not_directional,52064,4.021804032,1.578900913,3,0.071157655,0.6,0.55
missingness,0.5,0.5,not_directional,52064,5.708516438,1.577251011,4,0.071919895,0.5,0.5
missingness,0.0,0.0,not_directional,52065,2.114678313,0.713888806,2,0.03345431,1.0,1.0
missingness,0.1,0.1,not_directional,52065,2.07659503,0.711971608,2,0.03335021,0.9,0.9
missingness,0.3,0.3,not_directional,52065,2.11891017,0.711971608,2,0.015957248,0.833333333,0.8
missingness,0.5,0.5,not_directional,52065,2.009474643,0.712675374,2,0.018931808,0.633333333,0.65
missingness,0.0,0.0,not_directional,52066,2.076541767,0.698874191,2,0.027179586,1.0,1.0
missingness,0.1,0.1,not_directional,52066,2.064971076,0.697506711,2,0.028151752,0.833333333,0.9
missingness,0.3,0.3,not_directional,52066,2.218916327,0.698693224,3,0.026955007,0.733333333,0.8
missingness,0.5,0.5,not_directional,52066,1.751972627,0.70286161,3,0.004056063,0.5,0.55
missingness,0.0,0.0,not_directional,52067,2.008445819,0.687421414,2,0.02139891,1.0,1.0
missingness,0.1,0.1,not_directional,52067,1.994626779,0.68688873,2,0.021426297,0.9,0.95
missingness,0.3,0.3,not_directional,52067,6.160935393,1.553667097,6,0.021172712,0.6,0.65
missingness,0.5,0.5,not_directional,52067,9.786721499,1.603760777,12,0.000405098,0.366666667,0.35
missingness,0.0,0.0,not_directional,52068,2.162947784,0.813334917,2,0.025687205,1.0,1.0
missingness,0.1,0.1,not_directional,52068,2.128576845,0.813082783,2,0.025598981,0.866666667,0.9
